"designacion_anio","cargo_tipo","instancia_tipo","materia","cantidad_varones","cantidad_mujeres"
2009,"Defensor","Cámara","Penal",2,2
2009,"Defensor","Juzgado","Penal",3,2
2009,"Defensor","Tribunal","Penal",3,1
2009,"Defensor","Cámara","Penal económico",1,0
2009,"Fiscal","Juzgado","Penal",2,0
2009,"Fiscal","Tribunal","Penal",0,1
2009,"Juez","Cámara","Civil y/o comercial",5,7
2009,"Juez","Juzgado","Civil y/o comercial",6,8
2009,"Juez","Cámara","Contencioso administrativo",3,1
2009,"Juez","Juzgado","Contencioso administrativo",2,0
2009,"Juez","Cámara","Múltiple",2,0
2009,"Juez","Juzgado","Múltiple",4,0
2009,"Juez","Tribunal","Penal",6,0
2009,"Juez","Juzgado","Penal económico",1,0
2009,"Juez","Cámara","Seguridad social",0,1
2010,"Defensor","Juzgado","Penal",1,1
2010,"Fiscal","Juzgado","Penal",1,0
2010,"Juez","Cámara","Contencioso administrativo",1,0
2010,"Juez","Cámara","Múltiple",0,2
2010,"Juez","Tribunal","Penal",1,0
2010,"Juez","Tribunal","Penal económico",1,1
2011,"Defensor","Juzgado","Penal",1,0
2011,"Defensor","Tribunal","Penal",1,0
2011,"Fiscal","Cámara","Penal",1,0
2011,"Fiscal","Juzgado","Penal",3,0
2011,"Fiscal","Tribunal","Penal",1,0
2011,"Juez","Cámara","Civil y/o comercial",2,1
2011,"Juez","Juzgado","Civil y/o comercial",10,7
2011,"Juez","Cámara","Contencioso administrativo",3,1
2011,"Juez","Cámara","Laboral",5,6
2011,"Juez","Cámara","Múltiple",3,1
2011,"Juez","Juzgado","Múltiple",11,2
2011,"Juez","Cámara","Penal",4,1
2011,"Juez","Juzgado","Penal",10,4
2011,"Juez","Tribunal","Penal",25,9
2011,"Juez","Juzgado","Penal económico",1,0
2011,"Juez","Tribunal","Penal económico",1,0
2012,"Defensor","Cámara","Penal",2,1
2012,"Defensor","Juzgado","Penal",3,1
2012,"Fiscal","Tribunal","Múltiple",0,1
2012,"Fiscal","Cámara","Penal",1,0
2012,"Fiscal","Juzgado","Penal",2,0
2012,"Fiscal","Tribunal","Penal",2,2
2012,"Juez","Juzgado","Civil y/o comercial",1,0
2012,"Juez","Juzgado","Laboral",4,7
2012,"Juez","Cámara","Múltiple",4,1
2012,"Juez","Juzgado","Múltiple",6,1
2012,"Juez","Cámara","Penal",1,0
2012,"Juez","Juzgado","Penal",4,0
2012,"Juez","Tribunal","Penal",4,0
2013,"Defensor","Cámara","Múltiple",1,0
2013,"Defensor","Juzgado","Múltiple",1,1
