pais_id;pais;provincia_id;provincia;departamento_id;departamento;sup_afectada;uni_med_id;cant_focos;año_inicial
32;Argentina;6;Buenos Aires;833;Tres Arroyos;2400;ha;1;2014
32;Argentina;6;Buenos Aires;644;Pinamar;6;ha;1;2016
32;Argentina;6;Buenos Aires;112;Bragado;1;ha;;2017
32;Argentina;6;Buenos Aires;588;9 de julio;4;ha;;2017
32;Argentina;6;Buenos Aires;665;Ramallo;32.1;ha;;2017
32;Argentina;14;Córdoba;14;Calamuchita;50;ha;1;2015
32;Argentina;14;Córdoba;91;Punilla;1;ha;1;2017
32;Argentina;14;Córdoba;147;Santa María;10.07;ha;3;2017
32;Argentina;18;Corrientes;56;General Alvear;0.03;ha;1;2011
32;Argentina;18;Corrientes;56;General Alvear;257;ha;1;2012
32;Argentina;18;Corrientes;28;Concepción;20;ha;1;2011
32;Argentina;18;Corrientes;28;Concepción;130;ha;2;2012
32;Argentina;18;Corrientes;28;Concepción;5;ha;1;2013
32;Argentina;18;Corrientes;28;Concepción;146;ha;1;2015
32;Argentina;18;Corrientes;28;Concepción;11.5;ha;3;2017
32;Argentina;18;Corrientes;35;Curuzú Cuatía;50;ha;1;2011
32;Argentina;18;Corrientes;70;Goya;30;ha;1;2012
32;Argentina;18;Corrientes;56;Gral paz;6;ha;1;2016
32;Argentina;18;Corrientes;84;Itizaingó;707;ha;5;2011
32;Argentina;18;Corrientes;84;Itizaingó;294.3;ha;3;2012
32;Argentina;18;Corrientes;84;Ituzaingo;378;ha;1;2013
32;Argentina;18;Corrientes;84;Ituzaingo;158;ha;3;2014
32;Argentina;18;Corrientes;84;Ituzaingo;36.1;ha;1;2017
32;Argentina;18;Corrientes;112;Monte Caseros;300;ha;1;2012
32;Argentina;18;Corrientes;112;Monte Caseros;450;ha;1;2013
32;Argentina;18;Corrientes;112;Monte Caseros;1639.9;ha;2;2017
32;Argentina;18;Corrientes;119;Paso  de los Libres;72.9;ha;4;2011
32;Argentina;18;Corrientes;119;Paso  de los Libres;450;ha;5;2012
32;Argentina;18;Corrientes;119;Paso de los Libres;15;ha;2;2013
32;Argentina;18;Corrientes;119;Paso de los Libres;332.5;ha;3;2017
32;Argentina;18;Corrientes;126;Saladas;20;ha;2;2015
32;Argentina;18;Corrientes;147;San Martín;157.9;ha;2;2011
32;Argentina;18;Corrientes;147;San Martín;141;ha;1;2012
32;Argentina;18;Corrientes;154;San Miguel;247;ha;2;2011
32;Argentina;18;Corrientes;154;San Miguel;295;ha;3;2012
32;Argentina;18;Corrientes;154;San Miguel;147;ha;1;2014
32;Argentina;18;Corrientes;161;San Roque;35;ha;1;2011
32;Argentina;18;Corrientes;161;San Roque;10;ha;1;2012
32;Argentina;18;Corrientes;168;Santo Tomé;430.36;ha;9;2011
32;Argentina;18;Corrientes;168;Santo Tomé;1970;ha;18;2012
32;Argentina;18;Corrientes;168;Santo Tomé;115.25;ha;2;2013
32;Argentina;18;Corrientes;168;Santo Tomé;125;ha;3;2014
32;Argentina;18;Corrientes;168;Santo Tomé;3;ha;2;2015
32;Argentina;18;Corrientes;168;Santo Tomé;67.4;ha;5;2016
32;Argentina;18;Corrientes;168;Santo Tomé;5;ha;1;2017
32;Argentina;22;Chaco;7;Almirante Brown;30;ha;;2017
32;Argentina;22;Chaco;36;12 de Octubre;58;ha;;2017
32;Argentina;22;Chaco;91;Maipú;3;ha;;2017
32;Argentina;22;Chaco;98;Mayor Luis Fontana;16;ha;;2017
32;Argentina;22;Chaco;112;O´Higgins;60;ha;;2017
32;Argentina;26;Chubut;14;Cushamen;2.2434;ha;15;2011
32;Argentina;26;Chubut;14;Cushamen;259.801;ha;3;2012
32;Argentina;26;Chubut;14;Cushamen;16.009;ha;4;2013
32;Argentina;26;Chubut;14;Cushamen;20.44;ha;7;2014
32;Argentina;26;Chubut;14;Cushamen;187.23;ha;9;2015
32;Argentina;26;Chubut;14;Cushamen;0.918;ha;10;2016
32;Argentina;26;Chubut;14;Cushamen;21.88;ha;8;2017
32;Argentina;26;Chubut;35;Futaleufú;11.101;ha;9;2011
32;Argentina;26;Chubut;35;Futaleufú;2.6032;ha;17;2012
32;Argentina;26;Chubut;35;Futaleufú;0.441;ha;7;2013
32;Argentina;26;Chubut;35;Futaleufú;0.296;ha;6;2014
32;Argentina;26;Chubut;35;Futaleufú;10;ha;34;2015
32;Argentina;26;Chubut;35;Futaleufú;21.85;ha;17;2016
32;Argentina;26;Chubut;35;Futaleufú;41.55;ha;12;2017
32;Argentina;26;Chubut;56;Languiñeo;0.03;ha;1;2012
32;Argentina;26;Chubut;56;Languiñeo;0.091;ha;2;2013
32;Argentina;26;Chubut;98;Tehuelches;0.66;ha;1;2015
32;Argentina;26;Chubut;98;Tehuelches;0.14;ha;1;2016
32;Argentina;30;Entre Ríos;8;Colón;20;ha;1;2014
32;Argentina;30;Entre Ríos;15;Concordia;241;ha;0;2012
32;Argentina;30;Entre Ríos;15;Concordia;144.5;ha;0;2013
32;Argentina;30;Entre Ríos;15;Concordia;21;ha;1;2014
32;Argentina;30;Entre Ríos;15;Concordia;24.5;ha;7;2015
32;Argentina;30;Entre Ríos;15;Concordia;21;ha;2;2016
32;Argentina;30;Entre Ríos;15;Concordia;1;ha;1;2017
32;Argentina;30;Entre Ríos;28;Federación;8;ha;;2012
32;Argentina;30;Entre Ríos;28;Federación;19;ha;2;2014
32;Argentina;30;Entre Ríos;28;Federación;10;ha;1;2015
32;Argentina;30;Entre Ríos;28;Federación;10;ha;1;2016
32;Argentina;30;Entre Ríos;28;Federación;8;ha;1;2017
32;Argentina;30;Entre Ríos;35;Federal;12;ha;0;2012
32;Argentina;30;Entre Ríos;56;Gualeguachú;7;ha;1;2016
32;Argentina;30;Entre Ríos;56;Gualeguachú;2;ha;1;2017
32;Argentina;30;Entre Ríos;63;Islas del Ibicuy;90;ha;0;2012
32;Argentina;30;Entre Ríos;63;Islas del Ibicuy;2;ha;1;2017
32;Argentina;30;Entre Ríos;70;La Paz;10;ha;0;2012
32;Argentina;38;Jujuy;21;Dr Manuel Belgrano;3.85;ha;10;2012
32;Argentina;38;Jujuy;21;Dr Manuel Belgrano;1188.7;ha;10;2013
32;Argentina;38;Jujuy;21;Dr Manuel Belgrano;0.83;ha;3;2014
